nome;localizacao;salario;empresa;link
Vaga de Representante de Vendas; Cuiabá / MT ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-cuiaba-mt/representante-de-vendas/3333279
Vaga de Motorista Carreteiro; Goianira / GO ; a combinar;Mm Logistica e Transporte Eireli;https://www.bne.com.br/vaga-de-emprego-na-area-logistica-em-goianira-go/motorista-carreteiro/3333278
Vaga de Representante Comercial; Araruama / RJ ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-araruama-rj/representante-comercial/3333277
Vaga de Repositor de Mercadorias; sao marcos,   Sao Jose dos Pinhais / PR ; R$ 1.500,00 a R$ 1.800,00;Jacomar ;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-sao-jose-dos-pinhais-pr/repositor-de-mercadorias/3333276
Vaga de Encanador; Mangaratiba / RJ ; a combinar;Club Med Brasil Sa;https://www.bne.com.br/vaga-de-emprego-na-area-agua-e-esgoto-em-mangaratiba-rj/encanador/3333275
Vaga de Representante de Vendas; Porto Real / RJ ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-porto-real-rj/representante-de-vendas/3333274
Vaga de Representante Comercial; Jacaraipe / ES ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-jacaraipe-es/representante-comercial/3333273
Vaga de Representante de Vendas; Serra / ES ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-serra-es/representante-de-vendas/3333272
Vaga de Representante Comercial; Paracambi / RJ ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-paracambi-rj/representante-comercial/3333271
Vaga de Chapeiro de Restaurante; São Paulo / SP ; a combinar;The B Burgers The Best Burguer;https://www.bne.com.br/vaga-de-emprego-na-area-alimentos-em-sao-paulo-sp/chapeiro-de-restaurante/3333270
Vaga de Estagiário; Camacari / BA ;R$ 1.045,00;Tronox;https://www.bne.com.br/vaga-de-emprego-na-area-administrativo-em-camacari-ba/estagiario/3333269
Vaga de Costureira; Belo Horizonte / MG ; a combinar;B’look Moda Feminina;https://www.bne.com.br/vaga-de-emprego-na-area-texteis-em-belo-horizonte-mg/costureira/3333268
Vaga de Representante de Vendas; Campo Mouraão / PR ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-campo-mourao-pr/representante-de-vendas/3333267
Vaga de Representante de Vendas; Viamão / RS ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-viamao-rs/representante-de-vendas/3333266
Vaga de Representante Comercial; Lages / SC ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-lages-sc/representante-comercial/3333265
Vaga de Representante Comercial; Canela / RS ; a combinar;Industria de Cosmeticos Zarah Kosmetica;https://www.bne.com.br/vaga-de-emprego-na-area-comercio-em-canela-rs/representante-comercial/3333264
Vaga de Técnico em Segurança do Trabalho; Goiânia / GO ; a combinar;Gr Sondagem Brasileira;https://www.bne.com.br/vaga-de-emprego-na-area-construcao-em-goiania-go/tecnico-em-seguranca-do-trabalho/3333263
